id,code,description,unit,category,subcategory,rate,cellRate_reference,cellRate_rate,excelCellReference,sourceSheetName,keywords
RC75,RC75,Stairs / landings,m3,RC works,"Reinforced Concrete C35, RC35",215.29,RCworks!113,215.29,RCworks!A113,RC works,
RC76,RC76,Topping slabs to metal decking; not exceeding 150mm thk,m3,RC works,"Reinforced Concrete C35, RC35",190.18,RCworks!114,190.18,RCworks!A114,RC works,slab
RC77,RC77,Topping slabs to metal decking; 150-450mm thk,m3,RC works,"Reinforced Concrete C35, RC35",179.78,RCworks!115,179.78,RCworks!A115,RC works,slab
RC78,RC78,Pile caps/foundations/bases,m3,RC works,"Reinforced Concrete C40, RC40; DS/DC/AC-2/3/4",173.55,RCworks!118,173.55,RCworks!A118,RC works,foundation
RC79,RC79,Ground beams,m3,RC works,"Reinforced Concrete C40, RC40; DS/DC/AC-2/3/4",174.86,RCworks!119,174.86,RCworks!A119,RC works,beam
RC80,RC80,Bed; not exceeding 150mm thk,m3,RC works,"Reinforced Concrete C40, RC40; DS/DC/AC-2/3/4",187.47,RCworks!120,187.47,RCworks!A120,RC works,
RC81,RC81,Bed; 150-450mm thk,m3,RC works,"Reinforced Concrete C40, RC40; DS/DC/AC-2/3/4",177.06,RCworks!121,177.06,RCworks!A121,RC works,
RC82,RC82,Bed; 150-450mm thk; sloping,m3,RC works,"Reinforced Concrete C40, RC40; DS/DC/AC-2/3/4",180.85,RCworks!122,180.85,RCworks!A122,RC works,
RC83,RC83,Bed; ex 450mm thk,m3,RC works,"Reinforced Concrete C40, RC40; DS/DC/AC-2/3/4",176.05,RCworks!123,176.05,RCworks!A123,RC works,
RC84,RC84,Steps in slabs/Upstands/Pit walls/Sumps; 150-450,m3,RC works,"Reinforced Concrete C40, RC40; DS/DC/AC-2/3/4",216.3,RCworks!124,216.3,RCworks!A124,RC works,slab|wall
RC85,RC85,Capping beam,m3,RC works,"Reinforced Concrete C40, RC40; DS/DC/AC-2/3/4",183.5,RCworks!125,183.5,RCworks!A125,RC works,beam
RC86,RC86,Slabs; 150-450mm thk,m3,RC works,"Reinforced Concrete C40, RC40; DS/DC/AC-2/3/4",178.21,RCworks!126,178.21,RCworks!A126,RC works,slab
RC87,RC87,Walls; 150-450mm thk; retaining / lining wall,m3,RC works,"Reinforced Concrete C40, RC40; DS/DC/AC-2/3/4",198.22,RCworks!127,198.22,RCworks!A127,RC works,wall
RC88,RC88,Dwarf Walls; 150-450mm thk,m3,RC works,"Reinforced Concrete C40, RC40; DS/DC/AC-2/3/4",216.9,RCworks!128,216.9,RCworks!A128,RC works,wall
RC89,RC89,Stub Columns / Beams / Corbel,m3,RC works,"Reinforced Concrete C40, RC40; DS/DC/AC-2/3/4",263.23,RCworks!129,263.23,RCworks!A129,RC works,beam|column
RC90,RC90,Stairs / steps,m3,RC works,"Reinforced Concrete C40, RC40; DS/DC/AC-2/3/4",219.2,RCworks!130,219.2,RCworks!A130,RC works,
RC91,RC91,Piles; 300mm dia,m3,RC works,"Reinforced Concrete C40, RC40; DS/DC/AC-2/3/4",189.72,RCworks!131,189.72,RCworks!A131,RC works,
RC92,RC92,Slabs; not exceeding 150mm thk,m3,RC works,"Reinforced Concrete C40, RC40",191.05,RCworks!134,191.05,RCworks!A134,RC works,slab
RC93,RC93,Slabs; 150-450mm thk,m3,RC works,"Reinforced Concrete C40, RC40",179.4,RCworks!135,179.4,RCworks!A135,RC works,slab
RC94,RC94,Slabs; 150-450mm thk; balconies,m3,RC works,"Reinforced Concrete C40, RC40",185.17,RCworks!136,185.17,RCworks!A136,RC works,slab
RC95,RC95,Slabs; 150-450mm thk; PT slabs,m3,RC works,"Reinforced Concrete C40, RC40",179.4,RCworks!137,179.4,RCworks!A137,RC works,slab
RC96,RC96,Slabs; 150-450mm thk; sloping,m3,RC works,"Reinforced Concrete C40, RC40",183.24,RCworks!138,183.24,RCworks!A138,RC works,slab
RC97,RC97,Slabs; ex 450mm thk,m3,RC works,"Reinforced Concrete C40, RC40",178.87,RCworks!139,178.87,RCworks!A139,RC works,slab
RC98,RC98,Slabs; ex 450mm thk; PT slabs,m3,RC works,"Reinforced Concrete C40, RC40",172.95,RCworks!140,172.95,RCworks!A140,RC works,slab
RC99,RC99,Slabs; ex 450mm thk; sloping,m3,RC works,"Reinforced Concrete C40, RC40",182.6,RCworks!141,182.6,RCworks!A141,RC works,slab
RC100,RC100,Attached beams,m3,RC works,"Reinforced Concrete C40, RC40",179.4,RCworks!142,179.4,RCworks!A142,RC works,beam
RC101,RC101,Isolated beams,m3,RC works,"Reinforced Concrete C40, RC40",247.71,RCworks!143,247.71,RCworks!A143,RC works,beam
RC102,RC102,Isolated beam casings,m3,RC works,"Reinforced Concrete C40, RC40",268.03,RCworks!144,268.03,RCworks!A144,RC works,beam
RC103,RC103,Walls; not exceeding 150mm thk,m3,RC works,"Reinforced Concrete C40, RC40",211.13,RCworks!145,211.13,RCworks!A145,RC works,wall
RC104,RC104,Walls; 150-450mm thk,m3,RC works,"Reinforced Concrete C40, RC40",196.71,RCworks!146,196.71,RCworks!A146,RC works,wall
