id,code,description,unit,category,subcategory,rate,cellRate_reference,cellRate_rate,excelCellReference,sourceSheetName,keywords
DRA1,DRA1,All items below based on disposal of excavation arisings being clean/inert material. Rates flucuating based on a prime cost of:,item,Drainage,Excavation,300.0,Drainage!O20,300.0,Drainage!A20,Drainage,
DRA2,DRA2,Excludes suspended drainage to ground floor,item,Drainage,General Drainage,0.0,,0.0,Drainage!A21,Drainage,drainage
DRA3,DRA3,Excludes services and service entries. No details,item,Drainage,General Drainage,0.0,,0.0,Drainage!A22,Drainage,
DRA21,DRA21,Excavate trenches for pipes ne 200mm dia; backfill with SEM; dispose of surplus off site; depth to invert:; depth to invert: 4.5 - 4.75 m,m,Drainage,Pipework,311.66,Drainage!O42,311.66,Drainage!A42,Drainage,"200mm,excavate,trench,pipe,backfill,sem,dispose,invert"
DRA22,DRA22,Excavate trenches for pipes ne 200mm dia; backfill with SEM; dispose of surplus off site; depth to invert:; depth to invert: 4.75 - 5 m,m,Drainage,Pipework,326.53,Drainage!O43,326.53,Drainage!A43,Drainage,"200mm,excavate,trench,pipe,backfill,sem,dispose,invert"
DRA23,DRA23,Excavate trenches for pipes ne 200mm dia; backfill with SEM; dispose of surplus off site; depth to invert:; depth to invert: 5 - 5.25 m,m,Drainage,Pipework,341.41,Drainage!O44,341.41,Drainage!A44,Drainage,"200mm,excavate,trench,pipe,backfill,sem,dispose,invert"
DRA24,DRA24,Excavate trenches for pipes ne 200mm dia; backfill with SEM; dispose of surplus off site; depth to invert:; depth to invert: 5.25 - 5.5 m,m,Drainage,Pipework,356.28,Drainage!O45,356.28,Drainage!A45,Drainage,"200mm,excavate,trench,pipe,backfill,sem,dispose,invert"
DRA25,DRA25,Excavate trenches for pipes ne 200mm dia; backfill with SEM; dispose of surplus off site; depth to invert:; depth to invert: 5.5 - 5.75 m,m,Drainage,Pipework,371.15,Drainage!O46,371.15,Drainage!A46,Drainage,"200mm,excavate,trench,pipe,backfill,sem,dispose,invert"
DRA26,DRA26,Excavate trenches for pipes ne 200mm dia; backfill with SEM; dispose of surplus off site; depth to invert:; depth to invert: 5.75 - 6 m,m,Drainage,Pipework,386.02,Drainage!O47,386.02,Drainage!A47,Drainage,"200mm,excavate,trench,pipe,backfill,sem,dispose,invert"
DRA27,DRA27,Excavate trenches for pipes ne 200mm dia; backfill with SEM; dispose of surplus off site; depth to invert:; depth to invert: 6 - 6.25 m,m,Drainage,Pipework,400.89,Drainage!O48,400.89,Drainage!A48,Drainage,"200mm,excavate,trench,pipe,backfill,sem,dispose,invert"
DRA28,DRA28,Excavate trenches for pipes ne 200mm dia; backfill with SEM; dispose of surplus off site; depth to invert:; depth to invert: 6.25 - 6.5 m,m,Drainage,Pipework,415.77,Drainage!O49,415.77,Drainage!A49,Drainage,"200mm,excavate,trench,pipe,backfill,sem,dispose,invert"
DRA29,DRA29,Excavate trenches for pipes ne 200mm dia; backfill with SEM; dispose of surplus on site; depth to invert:; depth to invert: not exceeding 0.5 m,m,Drainage,Pipework,4.84,Drainage!O51,4.84,Drainage!A51,Drainage,"200mm,excavate,trench,pipe,backfill,sem,dispose,invert"
DRA30,DRA30,Excavate trenches for pipes ne 200mm dia; backfill with SEM; dispose of surplus on site; depth to invert:; depth to invert: 0.5 - 0.75 m,m,Drainage,Pipework,7.78,Drainage!O52,7.78,Drainage!A52,Drainage,"200mm,excavate,trench,pipe,backfill,sem,dispose,invert"
DRA31,DRA31,Excavate trenches for pipes ne 200mm dia; backfill with SEM; dispose of surplus on site; depth to invert:; depth to invert: 0.75 - 1 m,m,Drainage,Pipework,11.11,Drainage!O53,11.11,Drainage!A53,Drainage,"200mm,excavate,trench,pipe,backfill,sem,dispose,invert"
DRA32,DRA32,Excavate trenches for pipes ne 200mm dia; backfill with SEM; dispose of surplus on site; depth to invert:; depth to invert: 1 - 1.25 m,m,Drainage,Pipework,20.41,Drainage!O54,20.41,Drainage!A54,Drainage,"200mm,excavate,trench,pipe,backfill,sem,dispose,invert"
DRA33,DRA33,Excavate trenches for pipes ne 200mm dia; backfill with SEM; dispose of surplus on site; depth to invert:; depth to invert: 1.25 - 1.5 m,m,Drainage,Pipework,24.45,Drainage!O55,24.45,Drainage!A55,Drainage,"200mm,excavate,trench,pipe,backfill,sem,dispose,invert"
DRA34,DRA34,Excavate trenches for pipes ne 200mm dia; backfill with SEM; dispose of surplus on site; depth to invert:; depth to invert: 1.5 - 1.75 m,m,Drainage,Pipework,34.57,Drainage!O56,34.57,Drainage!A56,Drainage,"200mm,excavate,trench,pipe,backfill,sem,dispose,invert"
DRA35,DRA35,Excavate trenches for pipes ne 200mm dia; backfill with SEM; dispose of surplus on site; depth to invert:; depth to invert: 1.75 - 2 m,m,Drainage,Pipework,39.47,Drainage!O57,39.47,Drainage!A57,Drainage,"200mm,excavate,trench,pipe,backfill,sem,dispose,invert"
DRA36,DRA36,Excavate trenches for pipes ne 200mm dia; backfill with SEM; dispose of surplus on site; depth to invert:; depth to invert: 2 - 2.25 m,m,Drainage,Pipework,55.43,Drainage!O58,55.43,Drainage!A58,Drainage,"200mm,excavate,trench,pipe,backfill,sem,dispose,invert"
DRA37,DRA37,Excavate trenches for pipes ne 200mm dia; backfill with SEM; dispose of surplus on site; depth to invert:; depth to invert: 2.25 - 2.5 m,m,Drainage,Pipework,64.05,Drainage!O59,64.05,Drainage!A59,Drainage,"200mm,excavate,trench,pipe,backfill,sem,dispose,invert"
DRA38,DRA38,Excavate trenches for pipes ne 200mm dia; backfill with SEM; dispose of surplus on site; depth to invert:; depth to invert: 2.5 - 2.75 m,m,Drainage,Pipework,79.71,Drainage!O60,79.71,Drainage!A60,Drainage,"200mm,excavate,trench,pipe,backfill,sem,dispose,invert"
DRA39,DRA39,Excavate trenches for pipes ne 200mm dia; backfill with SEM; dispose of surplus on site; depth to invert:; depth to invert: 2.75 - 3 m,m,Drainage,Pipework,93.35,Drainage!O61,93.35,Drainage!A61,Drainage,"200mm,excavate,trench,pipe,backfill,sem,dispose,invert"
DRA40,DRA40,Excavate trenches for pipes ne 200mm dia; backfill with SEM; dispose of surplus on site; depth to invert:; depth to invert: 3 - 3.25 m,m,Drainage,Pipework,101.16,Drainage!O62,101.16,Drainage!A62,Drainage,"200mm,excavate,trench,pipe,backfill,sem,dispose,invert"
DRA41,DRA41,Excavate trenches for 225mm dia pipes; backfill with SEM; dispose of surplus off site; depth to invert:; depth to invert: not exceeding 0.5 m,m,Drainage,Pipework,16.3,Drainage!O64,16.3,Drainage!A64,Drainage,"225mm,excavate,trench,pipe,backfill,sem,dispose,invert"
DRA42,DRA42,Excavate trenches for 225mm dia pipes; backfill with SEM; dispose of surplus off site; depth to invert:; depth to invert: 0.5 - 0.75 m,m,Drainage,Pipework,19.67,Drainage!O65,19.67,Drainage!A65,Drainage,"225mm,excavate,trench,pipe,backfill,sem,dispose,invert"
DRA43,DRA43,Excavate trenches for 225mm dia pipes; backfill with SEM; dispose of surplus off site; depth to invert:; depth to invert: 0.75 - 1 m,m,Drainage,Pipework,23.9,Drainage!O66,23.9,Drainage!A66,Drainage,"225mm,excavate,trench,pipe,backfill,sem,dispose,invert"
DRA44,DRA44,Excavate trenches for 225mm dia pipes; backfill with SEM; dispose of surplus off site; depth to invert:; depth to invert: 1 - 1.25 m,m,Drainage,Pipework,35.21,Drainage!O67,35.21,Drainage!A67,Drainage,"225mm,excavate,trench,pipe,backfill,sem,dispose,invert"
DRA45,DRA45,Excavate trenches for 225mm dia pipes; backfill with SEM; dispose of surplus off site; depth to invert:; depth to invert: 1.25 - 1.5 m,m,Drainage,Pipework,40.08,Drainage!O68,40.08,Drainage!A68,Drainage,"225mm,excavate,trench,pipe,backfill,sem,dispose,invert"
DRA46,DRA46,Excavate trenches for 225mm dia pipes; backfill with SEM; dispose of surplus off site; depth to invert:; depth to invert: 1.5 - 1.75 m,m,Drainage,Pipework,55.17,Drainage!O69,55.17,Drainage!A69,Drainage,"225mm,excavate,trench,pipe,backfill,sem,dispose,invert"
DRA47,DRA47,Excavate trenches for 225mm dia pipes; backfill with SEM; dispose of surplus off site; depth to invert:; depth to invert: 1.75 - 2 m,m,Drainage,Pipework,61.11,Drainage!O70,61.11,Drainage!A70,Drainage,"225mm,excavate,trench,pipe,backfill,sem,dispose,invert"
DRA48,DRA48,Excavate trenches for 225mm dia pipes; backfill with SEM; dispose of surplus off site; depth to invert:; depth to invert: 2 - 2.25 m,m,Drainage,Pipework,84.17,Drainage!O71,84.17,Drainage!A71,Drainage,"225mm,excavate,trench,pipe,backfill,sem,dispose,invert"
DRA49,DRA49,Excavate trenches for 225mm dia pipes; backfill with SEM; dispose of surplus off site; depth to invert:; depth to invert: 2.25 - 2.5 m,m,Drainage,Pipework,95.7,Drainage!O72,95.7,Drainage!A72,Drainage,"225mm,excavate,trench,pipe,backfill,sem,dispose,invert"
DRA50,DRA50,Excavate trenches for 225mm dia pipes; backfill with SEM; dispose of surplus off site; depth to invert:; depth to invert: 2.5 - 2.75 m,m,Drainage,Pipework,116.06,Drainage!O73,116.06,Drainage!A73,Drainage,"225mm,excavate,trench,pipe,backfill,sem,dispose,invert"
DRA51,DRA51,Excavate trenches for 225mm dia pipes; backfill with SEM; dispose of surplus off site; depth to invert:; depth to invert: 2.75 - 3 m,m,Drainage,Pipework,134.69,Drainage!O74,134.69,Drainage!A74,Drainage,"225mm,excavate,trench,pipe,backfill,sem,dispose,invert"
DRA52,DRA52,Excavate trenches for 225mm dia pipes; backfill with SEM; dispose of surplus off site; depth to invert:; depth to invert: 3 - 3.25 m,m,Drainage,Pipework,144.18,Drainage!O75,144.18,Drainage!A75,Drainage,"225mm,excavate,trench,pipe,backfill,sem,dispose,invert"
DRA53,DRA53,Excavate trenches for 225mm dia pipes; backfill with SEM; dispose of surplus off site; depth to invert:; depth to invert: 3.25 - 3.5 m,m,Drainage,Pipework,153.67,Drainage!O76,153.67,Drainage!A76,Drainage,"225mm,excavate,trench,pipe,backfill,sem,dispose,invert"
DRA54,DRA54,Excavate trenches for 225mm dia pipes; backfill with SEM; dispose of surplus off site; depth to invert:; depth to invert: 3.5 - 3.75 m,m,Drainage,Pipework,210.49,Drainage!O77,210.49,Drainage!A77,Drainage,"225mm,excavate,trench,pipe,backfill,sem,dispose,invert"
DRA55,DRA55,Excavate trenches for 225mm dia pipes; backfill with SEM; dispose of surplus off site; depth to invert:; depth to invert: 3.75 - 4 m,m,Drainage,Pipework,222.67,Drainage!O78,222.67,Drainage!A78,Drainage,"225mm,excavate,trench,pipe,backfill,sem,dispose,invert"
DRA56,DRA56,Excavate trenches for 225mm dia pipes; backfill with SEM; dispose of surplus off site; depth to invert:; depth to invert: 4 - 4.25 m,m,Drainage,Pipework,287.56,Drainage!O79,287.56,Drainage!A79,Drainage,"225mm,excavate,trench,pipe,backfill,sem,dispose,invert"
DRA57,DRA57,Excavate trenches for 225mm dia pipes; backfill with SEM; dispose of surplus off site; depth to invert:; depth to invert: 4.25 - 4.5 m,m,Drainage,Pipework,302.43,Drainage!O80,302.43,Drainage!A80,Drainage,"225mm,excavate,trench,pipe,backfill,sem,dispose,invert"
DRA58,DRA58,Excavate trenches for 225mm dia pipes; backfill with SEM; dispose of surplus off site; depth to invert:; depth to invert: 4.5 - 4.75 m,m,Drainage,Pipework,317.3,Drainage!O81,317.3,Drainage!A81,Drainage,"225mm,excavate,trench,pipe,backfill,sem,dispose,invert"
DRA59,DRA59,Excavate trenches for 225mm dia pipes; backfill with SEM; dispose of surplus off site; depth to invert:; depth to invert: 4.75 - 5 m,m,Drainage,Pipework,332.18,Drainage!O82,332.18,Drainage!A82,Drainage,"225mm,excavate,trench,pipe,backfill,sem,dispose,invert"
DRA60,DRA60,Excavate trenches for 225mm dia pipes; backfill with SEM; dispose of surplus off site; depth to invert:; depth to invert: 5 - 5.25 m,m,Drainage,Pipework,347.05,Drainage!O83,347.05,Drainage!A83,Drainage,"225mm,excavate,trench,pipe,backfill,sem,dispose,invert"
DRA61,DRA61,Excavate trenches for 225mm dia pipes; backfill with SEM; dispose of surplus off site; depth to invert:; depth to invert: 5.25 - 5.5 m,m,Drainage,Pipework,361.92,Drainage!O84,361.92,Drainage!A84,Drainage,"225mm,excavate,trench,pipe,backfill,sem,dispose,invert"
DRA62,DRA62,Excavate trenches for 225mm dia pipes; backfill with SEM; dispose of surplus off site; depth to invert:; depth to invert: 5.5 - 5.75 m,m,Drainage,Pipework,376.79,Drainage!O85,376.79,Drainage!A85,Drainage,"225mm,excavate,trench,pipe,backfill,sem,dispose,invert"
DRA63,DRA63,Excavate trenches for 225mm dia pipes; backfill with SEM; dispose of surplus off site; depth to invert:; depth to invert: 5.75 - 6 m,m,Drainage,Pipework,391.66,Drainage!O86,391.66,Drainage!A86,Drainage,"225mm,excavate,trench,pipe,backfill,sem,dispose,invert"
DRA64,DRA64,Excavate trenches for 225mm dia pipes; backfill with SEM; dispose of surplus off site; depth to invert:; depth to invert: 6 - 6.25 m,m,Drainage,Pipework,406.54,Drainage!O87,406.54,Drainage!A87,Drainage,"225mm,excavate,trench,pipe,backfill,sem,dispose,invert"
DRA65,DRA65,Excavate trenches for 225mm dia pipes; backfill with SEM; dispose of surplus off site; depth to invert:; depth to invert: 6.25 - 6.5 m,m,Drainage,Pipework,421.41,Drainage!O88,421.41,Drainage!A88,Drainage,"225mm,excavate,trench,pipe,backfill,sem,dispose,invert"
DRA66,DRA66,Excavate trenches for 300mm dia pipes; backfill with SEM; dispose of surplus off site; depth to invert:; depth to invert: not exceeding 0.5 m,m,Drainage,Pipework,20.14,Drainage!O90,20.14,Drainage!A90,Drainage,"300mm,excavate,trench,pipe,backfill,sem,dispose,invert"
DRA67,DRA67,Excavate trenches for 300mm dia pipes; backfill with SEM; dispose of surplus off site; depth to invert:; depth to invert: 0.5 - 0.75 m,m,Drainage,Pipework,23.96,Drainage!O91,23.96,Drainage!A91,Drainage,"300mm,excavate,trench,pipe,backfill,sem,dispose,invert"
DRA68,DRA68,Excavate trenches for 300mm dia pipes; backfill with SEM; dispose of surplus off site; depth to invert:; depth to invert: 0.75 - 1 m,m,Drainage,Pipework,27.77,Drainage!O92,27.77,Drainage!A92,Drainage,"300mm,excavate,trench,pipe,backfill,sem,dispose,invert"
DRA69,DRA69,Excavate trenches for 300mm dia pipes; backfill with SEM; dispose of surplus off site; depth to invert:; depth to invert: 1 - 1.25 m,m,Drainage,Pipework,42.22,Drainage!O93,42.22,Drainage!A93,Drainage,"300mm,excavate,trench,pipe,backfill,sem,dispose,invert"
DRA70,DRA70,Excavate trenches for 300mm dia pipes; backfill with SEM; dispose of surplus off site; depth to invert:; depth to invert: 1.25 - 1.5 m,m,Drainage,Pipework,49.57,Drainage!O94,49.57,Drainage!A94,Drainage,"300mm,excavate,trench,pipe,backfill,sem,dispose,invert"
DRA71,DRA71,Excavate trenches for 300mm dia pipes; backfill with SEM; dispose of surplus off site; depth to invert:; depth to invert: 1.5 - 1.75 m,m,Drainage,Pipework,68.76,Drainage!O95,68.76,Drainage!A95,Drainage,"300mm,excavate,trench,pipe,backfill,sem,dispose,invert"
DRA72,DRA72,Excavate trenches for 300mm dia pipes; backfill with SEM; dispose of surplus off site; depth to invert:; depth to invert: 1.75 - 2 m,m,Drainage,Pipework,76.35,Drainage!O96,76.35,Drainage!A96,Drainage,"300mm,excavate,trench,pipe,backfill,sem,dispose,invert"
DRA73,DRA73,Excavate trenches for 300mm dia pipes; backfill with SEM; dispose of surplus off site; depth to invert:; depth to invert: 2 - 2.25 m,m,Drainage,Pipework,103.46,Drainage!O97,103.46,Drainage!A97,Drainage,"300mm,excavate,trench,pipe,backfill,sem,dispose,invert"
DRA74,DRA74,Excavate trenches for 300mm dia pipes; backfill with SEM; dispose of surplus off site; depth to invert:; depth to invert: 2.25 - 2.5 m,m,Drainage,Pipework,112.63,Drainage!O98,112.63,Drainage!A98,Drainage,"300mm,excavate,trench,pipe,backfill,sem,dispose,invert"
DRA75,DRA75,Excavate trenches for 300mm dia pipes; backfill with SEM; dispose of surplus off site; depth to invert:; depth to invert: 2.5 - 2.75 m,m,Drainage,Pipework,125.26,Drainage!O99,125.26,Drainage!A99,Drainage,"300mm,excavate,trench,pipe,backfill,sem,dispose,invert"
DRA76,DRA76,Excavate trenches for 300mm dia pipes; backfill with SEM; dispose of surplus off site; depth to invert:; depth to invert: 2.75 - 3 m,m,Drainage,Pipework,134.82,Drainage!O100,134.82,Drainage!A100,Drainage,"300mm,excavate,trench,pipe,backfill,sem,dispose,invert"
DRA77,DRA77,Excavate trenches for 300mm dia pipes; backfill with SEM; dispose of surplus off site; depth to invert:; depth to invert: 3 - 3.25 m,m,Drainage,Pipework,252.06,Drainage!O101,252.06,Drainage!A101,Drainage,"300mm,excavate,trench,pipe,backfill,sem,dispose,invert"
DRA78,DRA78,Excavate trenches for 300mm dia pipes; backfill with SEM; dispose of surplus off site; depth to invert:; depth to invert: 3.25 - 3.5 m,m,Drainage,Pipework,268.34,Drainage!O102,268.34,Drainage!A102,Drainage,"300mm,excavate,trench,pipe,backfill,sem,dispose,invert"
DRA79,DRA79,Excavate trenches for 300mm dia pipes; backfill with SEM; dispose of surplus off site; depth to invert:; depth to invert: 3.5 - 3.75 m,m,Drainage,Pipework,284.62,Drainage!O103,284.62,Drainage!A103,Drainage,"300mm,excavate,trench,pipe,backfill,sem,dispose,invert"
DRA80,DRA80,Excavate trenches for 300mm dia pipes; backfill with SEM; dispose of surplus off site; depth to invert:; depth to invert: 3.75 - 4 m,m,Drainage,Pipework,300.9,Drainage!O104,300.9,Drainage!A104,Drainage,"300mm,excavate,trench,pipe,backfill,sem,dispose,invert"
DRA81,DRA81,Excavate trenches for 300mm dia pipes; backfill with SEM; dispose of surplus off site; depth to invert:; depth to invert: 4 - 4.25 m,m,Drainage,Pipework,317.19,Drainage!O105,317.19,Drainage!A105,Drainage,"300mm,excavate,trench,pipe,backfill,sem,dispose,invert"
DRA82,DRA82,Excavate trenches for 300mm dia pipes; backfill with SEM; dispose of surplus off site; depth to invert:; depth to invert: 4.25 - 4.5 m,m,Drainage,Pipework,333.47,Drainage!O106,333.47,Drainage!A106,Drainage,"300mm,excavate,trench,pipe,backfill,sem,dispose,invert"
DRA83,DRA83,Excavate trenches for 300mm dia pipes; backfill with SEM; dispose of surplus off site; depth to invert:; depth to invert: 4.5 - 4.75 m,m,Drainage,Pipework,349.75,Drainage!O107,349.75,Drainage!A107,Drainage,"300mm,excavate,trench,pipe,backfill,sem,dispose,invert"
DRA84,DRA84,Excavate trenches for 300mm dia pipes; backfill with SEM; dispose of surplus off site; depth to invert:; depth to invert: 4.75 - 5 m,m,Drainage,Pipework,366.04,Drainage!O108,366.04,Drainage!A108,Drainage,"300mm,excavate,trench,pipe,backfill,sem,dispose,invert"
DRA85,DRA85,Excavate trenches for 300mm dia pipes; backfill with SEM; dispose of surplus off site; depth to invert:; depth to invert: 5 - 5.25 m,m,Drainage,Pipework,382.32,Drainage!O109,382.32,Drainage!A109,Drainage,"300mm,excavate,trench,pipe,backfill,sem,dispose,invert"
DRA86,DRA86,Excavate trenches for 300mm dia pipes; backfill with SEM; dispose of surplus off site; depth to invert:; depth to invert: 5.25 - 5.5 m,m,Drainage,Pipework,398.6,Drainage!O110,398.6,Drainage!A110,Drainage,"300mm,excavate,trench,pipe,backfill,sem,dispose,invert"
DRA87,DRA87,Excavate trenches for 300mm dia pipes; backfill with SEM; dispose of surplus off site; depth to invert:; depth to invert: 5.5 - 5.75 m,m,Drainage,Pipework,414.88,Drainage!O111,414.88,Drainage!A111,Drainage,"300mm,excavate,trench,pipe,backfill,sem,dispose,invert"
DRA88,DRA88,Excavate trenches for 300mm dia pipes; backfill with SEM; dispose of surplus off site; depth to invert:; depth to invert: 5.75 - 6 m,m,Drainage,Pipework,431.17,Drainage!O112,431.17,Drainage!A112,Drainage,"300mm,excavate,trench,pipe,backfill,sem,dispose,invert"
DRA89,DRA89,Excavate trenches for 300mm dia pipes; backfill with SEM; dispose of surplus off site; depth to invert:; depth to invert: 6 - 6.25 m,m,Drainage,Pipework,447.45,Drainage!O113,447.45,Drainage!A113,Drainage,"300mm,excavate,trench,pipe,backfill,sem,dispose,invert"
DRA90,DRA90,Excavate trenches for 300mm dia pipes; backfill with SEM; dispose of surplus off site; depth to invert:; depth to invert: 6.25 - 6.5 m,m,Drainage,Pipework,463.73,Drainage!O114,463.73,Drainage!A114,Drainage,"300mm,excavate,trench,pipe,backfill,sem,dispose,invert"
DRA91,DRA91,Excavate trenches for 450mm dia pipes; backfill with SEM; dispose of surplus off site; depth to invert:; depth to invert: not exceeding 0.5 m,m,Drainage,Pipework,29.41,Drainage!O116,29.41,Drainage!A116,Drainage,"450mm,excavate,trench,pipe,backfill,sem,dispose,invert"
DRA92,DRA92,Excavate trenches for 450mm dia pipes; backfill with SEM; dispose of surplus off site; depth to invert:; depth to invert: 0.5 - 0.75 m,m,Drainage,Pipework,34.18,Drainage!O117,34.18,Drainage!A117,Drainage,"450mm,excavate,trench,pipe,backfill,sem,dispose,invert"
DRA93,DRA93,Excavate trenches for 450mm dia pipes; backfill with SEM; dispose of surplus off site; depth to invert:; depth to invert: 0.75 - 1 m,m,Drainage,Pipework,38.94,Drainage!O118,38.94,Drainage!A118,Drainage,"450mm,excavate,trench,pipe,backfill,sem,dispose,invert"
DRA94,DRA94,Excavate trenches for 450mm dia pipes; backfill with SEM; dispose of surplus off site; depth to invert:; depth to invert: 1 - 1.25 m,m,Drainage,Pipework,54.34,Drainage!O119,54.34,Drainage!A119,Drainage,"450mm,excavate,trench,pipe,backfill,sem,dispose,invert"
DRA95,DRA95,Excavate trenches for 450mm dia pipes; backfill with SEM; dispose of surplus off site; depth to invert:; depth to invert: 1.25 - 1.5 m,m,Drainage,Pipework,61.24,Drainage!O120,61.24,Drainage!A120,Drainage,"450mm,excavate,trench,pipe,backfill,sem,dispose,invert"
DRA96,DRA96,Excavate trenches for 450mm dia pipes; backfill with SEM; dispose of surplus off site; depth to invert:; depth to invert: 1.5 - 1.75 m,m,Drainage,Pipework,68.13,Drainage!O121,68.13,Drainage!A121,Drainage,"450mm,excavate,trench,pipe,backfill,sem,dispose,invert"
