id,code,description,unit,category,subcategory,rate,cellRate_reference,cellRate_rate,excelCellReference,sourceSheetName,keywords
SER389,SER346,Ductwork accessories & fittings; clay; 225 x 100/150 branch,item,Services,General Services,135.79,Services!I495,135.79,Services!A495,Services,general_services
SER390,SER347,Ductwork accessories & fittings; clay; 225 x 225 branch,item,Services,General Services,167.61,Services!I496,167.61,Services!A496,Services,general_services
SER391,SER348,Pipework accessories & fittings; UPVC; 80mm dia rising main with mechanical joints; class C - 9bar rating; bend,nr,Services,Plumbing Works,66.25,Services!I499,66.25,Services!A499,Services,"80mm,pvc,pipe,plumbing_works"
SER392,SER349,Pipework accessories & fittings; UPVC; 80mm dia rising main with mechanical joints; class C - 9bar rating; coupling to plain end/termination,nr,Services,Plumbing Works,61.62,Services!I500,61.62,Services!A500,Services,"80mm,pvc,pipe,plumbing_works"
SER393,SER350,Pipework accessories & fittings; UPVC; 50mm dia; bend,nr,Services,Plumbing Works,15.64,Services!I501,15.64,Services!A501,Services,"50mm,pvc,pipe,plumbing_works"
SER394,SER351,Pipework accessories & fittings; UPVC; 63mm dia; bend,nr,Services,Plumbing Works,16.59,Services!I502,16.59,Services!A502,Services,"63mm,pvc,pipe,plumbing_works"
SER395,SER352,Pipework accessories & fittings; UPVC; 80mm dia; bend,nr,Services,Plumbing Works,17.06,Services!I503,17.06,Services!A503,Services,"80mm,pvc,pipe,plumbing_works"
SER396,SER353,Pipework accessories & fittings; UPVC; 100mm dia; bend,nr,Services,Plumbing Works,17.25,Services!I504,17.25,Services!A504,Services,"100mm,pvc,pipe,plumbing_works"
SER397,SER354,Pipework accessories & fittings; UPVC; 100mm dia; bend; lay only free issue,nr,Services,Plumbing Works,3.61,Services!I505,3.61,Services!A505,Services,"100mm,pvc,pipe,plumbing_works"
SER398,SER355,Pipework accessories & fittings; UPVC; 100mm dia; long radius bend,nr,Services,Plumbing Works,27.14,Services!I506,27.14,Services!A506,Services,"100mm,pvc,pipe,plumbing_works"
SER399,SER356,Pipework accessories & fittings; UPVC; 100mm dia; rest bend,nr,Services,Plumbing Works,27.14,Services!I507,27.14,Services!A507,Services,"100mm,pvc,pipe,plumbing_works"
SER400,SER357,Pipework accessories & fittings; UPVC; 100mm dia; rocker,nr,Services,Plumbing Works,19.2,Services!I508,19.2,Services!A508,Services,"100mm,pvc,pipe,plumbing_works"
SER401,SER358,Pipework accessories & fittings; UPVC; 100mm dia; vertical pipework; inc conc surround,m,Services,Plumbing Works,57.62,Services!I509,57.62,Services!A509,Services,"100mm,pvc,pipe,plumbing_works"
SER402,SER359,Pipework accessories & fittings; UPVC; 100 x 100 branch,item,Services,Plumbing Works,24.77,Services!I510,24.77,Services!A510,Services,"pvc,pipe,plumbing_works"
SER403,SER360,Pipework accessories & fittings; UPVC; 125mm dia; bend,nr,Services,Plumbing Works,20.66,Services!I511,20.66,Services!A511,Services,"125mm,pvc,pipe,plumbing_works"
SER404,SER361,Pipework accessories & fittings; UPVC; 125mm dia; long radius bend,nr,Services,Plumbing Works,26.62,Services!I512,26.62,Services!A512,Services,"125mm,pvc,pipe,plumbing_works"
SER405,SER362,Pipework accessories & fittings; UPVC; 125mm dia; rocker,nr,Services,Plumbing Works,19.2,Services!I513,19.2,Services!A513,Services,"125mm,pvc,pipe,plumbing_works"
SER406,SER363,Pipework accessories & fittings; UPVC; 160mm dia; bend,nr,Services,Plumbing Works,37.07,Services!I514,37.07,Services!A514,Services,"160mm,pvc,pipe,plumbing_works"
SER407,SER364,Pipework accessories & fittings; UPVC; 160mm dia; long radius bend,nr,Services,Plumbing Works,37.07,Services!I515,37.07,Services!A515,Services,"160mm,pvc,pipe,plumbing_works"
SER408,SER365,Pipework accessories & fittings; UPVC; 160mm dia; rest bend,nr,Services,Plumbing Works,41.86,Services!I516,41.86,Services!A516,Services,"160mm,pvc,pipe,plumbing_works"
SER409,SER366,Pipework accessories & fittings; UPVC; 160mm dia; rocker,nr,Services,Plumbing Works,35.49,Services!I517,35.49,Services!A517,Services,"160mm,pvc,pipe,plumbing_works"
SER410,SER367,Pipework accessories & fittings; UPVC; 160 x 100 branch,item,Services,Plumbing Works,53.12,Services!I518,53.12,Services!A518,Services,"pvc,pipe,plumbing_works"
SER411,SER368,Pipework accessories & fittings; UPVC; 160 x 160 branch,item,Services,Plumbing Works,69.44,Services!I519,69.44,Services!A519,Services,"pvc,pipe,plumbing_works"
SER412,SER369,Pipework accessories & fittings; UPVC; 160mm dia; vertical pipework; inc conc surround,m,Services,Plumbing Works,86.88,Services!I520,86.88,Services!A520,Services,"160mm,pvc,pipe,plumbing_works"
SER413,SER370,Pipework accessories & fittings; UPVC; 200mm dia; bend,nr,Services,Plumbing Works,105.51,Services!I521,105.51,Services!A521,Services,"200mm,pvc,pipe,plumbing_works"
SER414,SER371,Pipework accessories & fittings; UPVC; 200mm dia; rocker,nr,Services,Plumbing Works,106.21,Services!I522,106.21,Services!A522,Services,"200mm,pvc,pipe,plumbing_works"
SER415,SER372,Pipework accessories & fittings; UPVC; 200 x 100/160 branch,item,Services,Plumbing Works,75.63,Services!I523,75.63,Services!A523,Services,"pvc,pipe,plumbing_works"
