id,code,description,unit,category,subcategory,rate,cellRate_reference,cellRate_rate,excelCellReference,sourceSheetName,keywords
147,83,Dry pack to underside of existing foundation; not exceeding 1200mm wide,m,Underpinning,Sundries,131.44,Underpinning!E199,131.44,Underpinning!A199,Underpinning,"1200mm,foundation"
148,84,Dry pack to underside of existing foundation; not exceeding 1500mm wide,m,Underpinning,Sundries,164.3,Underpinning!E200,164.3,Underpinning!A200,Underpinning,"1500mm,foundation"
149,85,Dry pack to underside of existing foundation,m2,Underpinning,Sundries,109.53,Underpinning!E201,109.53,Underpinning!A201,Underpinning,foundation
150,86,75mm Dry pack to underside of existing foundation,m2,Underpinning,Sundries,148.0,Underpinning!E202,148.0,Underpinning!A202,Underpinning,"75mm,foundation"
151,87,100mm Dry pack to underside of existing foundation,m2,Underpinning,Sundries,219.06,Underpinning!E203,219.06,Underpinning!A203,Underpinning,"100mm,foundation"
152,88,Drill & grout dowel bars; Hilti HIT resin,nr,Underpinning,Sundries,11.53,Underpinning!E204,11.53,Underpinning!A204,Underpinning,
153,89,Dowel bars; between underpins,nr,Underpinning,Sundries,15.11,Underpinning!E205,15.11,Underpinning!A205,Underpinning,
154,90,Polystyrene void former,m3,Underpinning,Sundries,122.88,Underpinning!E206,122.88,Underpinning!A206,Underpinning,
155,91,Cellcore; CP8/12; 300mm thk; horizontal,m2,Underpinning,Sundries,45.77,Underpinning!E207,45.77,Underpinning!A207,Underpinning,300mm
156,92,Cellcore; CP20/30; 300mm thk; horizontal,m2,Underpinning,Sundries,50.97,Underpinning!E208,50.97,Underpinning!A208,Underpinning,300mm
157,93,Claymaster; 75mm thk; vertical,m2,Underpinning,Sundries,17.06,Underpinning!E209,17.06,Underpinning!A209,Underpinning,75mm
158,94,Form corbel; 100 x 300 x 1000; 4nr H10 reinforcing bars,m,Underpinning,Sundries,244.85,Underpinning!E210,244.85,Underpinning!A210,Underpinning,
159,95,Form toe to base of underpin; 750 x 500,m,Underpinning,Sundries,129.56,Underpinning!E211,129.56,Underpinning!A211,Underpinning,
160,96,50mm compressible EPS movement joint filler; 250mm wide between toe and slab/ground beam,m,Underpinning,Sundries,30.81,Underpinning!E212,30.81,Underpinning!A212,Underpinning,"50mm,250mm"
161,97,EO Form key/joggle joint between bays,m2,Underpinning,Sundries,45.29,Underpinning!E213,45.29,Underpinning!A213,Underpinning,bay
162,98,Temporary propping,m,Underpinning,Sundries,513.3,Underpinning!E214,513.3,Underpinning!A214,Underpinning,
