id,code,description,unit,category,subcategory,rate,cellRate_reference,cellRate_rate,excelCellReference,sourceSheetName,keywords
UND66,UND2,Exc preliminary trench (by hand & excvtr); not exceeding 2m dp,m3,Underpinning,Plain Concrete FND2,70.28,Underpinning!E100,70.28,Underpinning!A100,Underpinning,"2m,trench"
UND67,UND3,Exc preliminary trench (by hand & excvtr); not exceeding 4m dp,m3,Underpinning,Plain Concrete FND2,94.97,Underpinning!E101,94.97,Underpinning!A101,Underpinning,"4m,trench"
UND68,UND4,Exc preliminary trench (by hand & excvtr); not exceeding 6m dp,m3,Underpinning,Plain Concrete FND2,121.3,Underpinning!E102,121.3,Underpinning!A102,Underpinning,"6m,trench"
UND69,UND5,Excavate underpinning trench (by hand); not exceeding 1m dp,m3,Underpinning,Plain Concrete FND2,78.51,Underpinning!E103,78.51,Underpinning!A103,Underpinning,"1m,underpinning,trench"
UND70,UND6,Excavate underpinning trench (by hand); not exceeding 2m dp,m3,Underpinning,Plain Concrete FND2,85.1,Underpinning!E104,85.1,Underpinning!A104,Underpinning,"2m,underpinning,trench"
UND71,UND7,Excavate underpinning trench (by hand); not exceeding 3m dp,m3,Underpinning,Plain Concrete FND2,101.55,Underpinning!E105,101.55,Underpinning!A105,Underpinning,"3m,underpinning,trench"
UND72,UND8,Excavate underpinning trench (by hand); not exceeding 4m dp,m3,Underpinning,Plain Concrete FND2,131.18,Underpinning!E106,131.18,Underpinning!A106,Underpinning,"4m,underpinning,trench"
UND73,UND9,Excavate underpinning trench (by hand); not exceeding 6m dp,m3,Underpinning,Plain Concrete FND2,177.26,Underpinning!E107,177.26,Underpinning!A107,Underpinning,"6m,underpinning,trench"
UND74,UND10,EO excs for break out brickwork/rock obstructions (prov),m3,Underpinning,Plain Concrete FND2,143.72,Underpinning!E108,143.72,Underpinning!A108,Underpinning,
UND75,UND11,EO excs for break out concrete obstructions (prov),m3,Underpinning,Plain Concrete FND2,213.48,Underpinning!E109,213.48,Underpinning!A109,Underpinning,concrete
UND76,UND12,EO excs for break out reinfd concrete obstructions (prov),m3,Underpinning,Plain Concrete FND2,283.23,Underpinning!E110,283.23,Underpinning!A110,Underpinning,concrete
UND77,UND13,EO excs for break out concrete slab; 150mm thk,m2,Underpinning,Plain Concrete FND2,19.29,Underpinning!E111,19.29,Underpinning!A111,Underpinning,"150mm,concrete"
UND78,UND14,EO excs for exc below grd water level (prov),m3,Underpinning,Plain Concrete FND2,116.33,Underpinning!E112,116.33,Underpinning!A112,Underpinning,
UND79,UND15,Dispose of excavation arisings off site; clean inert material,m3,Underpinning,Plain Concrete FND2,69.61,Underpinning!E114,69.61,Underpinning!A114,Underpinning,excavation
UND80,UND16,Sidecast & stockpile,m3,Underpinning,Plain Concrete FND2,16.75,Underpinning!E115,16.75,Underpinning!A115,Underpinning,
UND81,UND17,Cut off projecting brick corbelled foundation; not exceeding 300 x 300,m,Underpinning,Plain Concrete FND2,45.95,Underpinning!E116,45.95,Underpinning!A116,Underpinning,foundation
UND82,UND18,Clean off face of brickwork,m2,Underpinning,Plain Concrete FND2,6.49,Underpinning!E117,6.49,Underpinning!A117,Underpinning,
UND83,UND19,Level & compact bottom of excavation,m2,Underpinning,Plain Concrete FND2,7.5,Underpinning!E118,7.5,Underpinning!A118,Underpinning,excavation
UND84,UND20,EWS; not exceeding 1m,m2,Underpinning,Plain Concrete FND2,15.01,Underpinning!E119,15.01,Underpinning!A119,Underpinning,1m
UND85,UND21,EWS; not exceeding 2m,m2,Underpinning,Plain Concrete FND2,31.2,Underpinning!E120,31.2,Underpinning!A120,Underpinning,2m
UND86,UND22,EWS; not exceeding 3m,m2,Underpinning,Plain Concrete FND2,47.99,Underpinning!E121,47.99,Underpinning!A121,Underpinning,3m
UND87,UND23,EWS; not exceeding 4m,m2,Underpinning,Plain Concrete FND2,69.49,Underpinning!E122,69.49,Underpinning!A122,Underpinning,4m
UND88,UND24,EWS; not exceeding 6m,m2,Underpinning,Plain Concrete FND2,104.23,Underpinning!E123,104.23,Underpinning!A123,Underpinning,6m
UND89,UND25,EO for left in,m2,Underpinning,Plain Concrete FND2,16.48,Underpinning!E124,16.48,Underpinning!A124,Underpinning,
UND90,UND26,16 dia x 600 lg dowel bars between adjacent pins,nr,Underpinning,Plain Concrete FND2,15.23,Underpinning!E125,15.23,Underpinning!A125,Underpinning,
UND91,UND27,Clean underside of existing foundation; 600mm wide,m,Underpinning,Plain Concrete FND2,37.98,Underpinning!E126,37.98,Underpinning!A126,Underpinning,"600mm,foundation"
UND92,UND28,Clean underside of existing foundation; 800mm wide,m,Underpinning,Plain Concrete FND2,50.64,Underpinning!E127,50.64,Underpinning!A127,Underpinning,"800mm,foundation"
UND93,UND29,Clean underside of existing foundation,m2,Underpinning,Plain Concrete FND2,63.31,Underpinning!E128,63.31,Underpinning!A128,Underpinning,foundation
UND94,UND30,Clean underside of existing foundation; 1200mm wide,m,Underpinning,Plain Concrete FND2,75.97,Underpinning!E129,75.97,Underpinning!A129,Underpinning,"1200mm,foundation"
UND95,UND31,Clean underside of existing foundation; 1500mm wide,m,Underpinning,Plain Concrete FND2,94.96,Underpinning!E130,94.96,Underpinning!A130,Underpinning,"1500mm,foundation"
UND96,UND32,Temporary works; propping existing foundations (per pin),nr,Underpinning,Plain Concrete FND2,81.29,Underpinning!E131,81.29,Underpinning!A131,Underpinning,foundation
UND97,UND33,Dispose surface water,item,Underpinning,Plain Concrete FND2,0.0,,0.0,Underpinning!A132,Underpinning,
UND98,UND34,Dispose ground water,item,Underpinning,Plain Concrete FND2,983.33,Underpinning!E133,983.33,Underpinning!A133,Underpinning,
UND99,UND35,Filling; with SEM,m3,Underpinning,Plain Concrete FND2,39.79,Underpinning!E134,39.79,Underpinning!A134,Underpinning,
UND100,UND36,Imported granular fill; crushed concrete,m3,Underpinning,Plain Concrete FND2,97.47,Underpinning!E135,97.47,Underpinning!A135,Underpinning,concrete
UND101,UND37,Imported granular fill; 6F2,m3,Underpinning,Plain Concrete FND2,98.79,Underpinning!E136,98.79,Underpinning!A136,Underpinning,
UND102,UND38,Imported granular fill; 6F1,m3,Underpinning,Plain Concrete FND2,100.1,Underpinning!E137,100.1,Underpinning!A137,Underpinning,
UND103,UND39,Imported granular fill; type 2,m3,Underpinning,Plain Concrete FND2,102.72,Underpinning!E138,102.72,Underpinning!A138,Underpinning,
UND104,UND40,Imported granular fill; type 1,m3,Underpinning,Plain Concrete FND2,106.65,Underpinning!E139,106.65,Underpinning!A139,Underpinning,
UND105,UND41,Level & compact surface of fill,m2,Underpinning,Plain Concrete FND2,7.61,Underpinning!E140,7.61,Underpinning!A140,Underpinning,
UND106,UND42,Blinding not exceeding 150 thk,m3,Underpinning,Plain Concrete GEN1,286.55,Underpinning!E143,286.55,Underpinning!A143,Underpinning,
UND107,UND43,Blinding not exceeding 150 thk; 50mm thick,m2,Underpinning,Plain Concrete GEN1,14.33,Underpinning!E144,14.33,Underpinning!A144,Underpinning,50mm
UND108,UND44,Underpins,m3,Underpinning,Plain Concrete FND2,277.75,Underpinning!E147,277.75,Underpinning!A147,Underpinning,
UND109,UND45,Mass fill,m3,Underpinning,Plain Concrete FND2,277.75,Underpinning!E148,277.75,Underpinning!A148,Underpinning,
UND110,UND46,Bed; 150-450mm thk,m3,Underpinning,Plain Concrete FND2,253.6,Underpinning!E149,253.6,Underpinning!A149,Underpinning,450mm
UND111,UND47,Wall; 150-450mm thk,m3,Underpinning,Plain Concrete FND2,306.96,Underpinning!E150,306.96,Underpinning!A150,Underpinning,450mm
UND112,UND48,Underpins,m3,Underpinning,Plain Concrete RC40,280.46,Underpinning!E153,280.46,Underpinning!A153,Underpinning,
UND113,UND49,Formwork to face of underpin,m2,Underpinning,Formwork; Basic Finish,50.86,Underpinning!E156,50.86,Underpinning!A156,Underpinning,
UND114,UND50,Formwork to rear face of underpin; left in,m2,Underpinning,Formwork; Basic Finish,26.02,Underpinning!E157,26.02,Underpinning!A157,Underpinning,
UND115,UND51,Foundations; not exceeding 250,m,Underpinning,Formwork; Basic Finish,10.15,Underpinning!E158,10.15,Underpinning!A158,Underpinning,foundation
UND116,UND52,Foundations; 250-500,m,Underpinning,Formwork; Basic Finish,14.04,Underpinning!E159,14.04,Underpinning!A159,Underpinning,foundation
UND117,UND53,Foundations; 500-1m,m,Underpinning,Formwork; Basic Finish,22.83,Underpinning!E160,22.83,Underpinning!A160,Underpinning,"1m,foundation"
UND118,UND54,Foundations; ex 1m,m2,Underpinning,Formwork; Basic Finish,27.26,Underpinning!E161,27.26,Underpinning!A161,Underpinning,"1m,foundation"
UND119,UND55,Foundations; not exceeding 250; permanent left-in,m,Underpinning,Formwork; Basic Finish,6.79,Underpinning!E162,6.79,Underpinning!A162,Underpinning,foundation
UND120,UND56,Foundations; 250-500; permanent left in,m,Underpinning,Formwork; Basic Finish,9.15,Underpinning!E163,9.15,Underpinning!A163,Underpinning,foundation
UND121,UND57,Foundations; 500-1m; permanent left in,m,Underpinning,Formwork; Basic Finish,12.69,Underpinning!E164,12.69,Underpinning!A164,Underpinning,"1m,foundation"
UND122,UND58,Foundations; ex 1m; permanent left in,m2,Underpinning,Formwork; Basic Finish,16.52,Underpinning!E165,16.52,Underpinning!A165,Underpinning,"1m,foundation"
UND123,UND59,Ground beams & edge of bed; not exceeding 250,m,Underpinning,Formwork; Basic Finish,11.68,Underpinning!E166,11.68,Underpinning!A166,Underpinning,
UND124,UND60,Ground beams & edge of bed; 250-500,m,Underpinning,Formwork; Basic Finish,15.75,Underpinning!E167,15.75,Underpinning!A167,Underpinning,
