id,code,original_code,description,unit,category,subcategory,work_type,rate,cellRate_reference,cellRate_rate,excelCellReference,sourceSheetName,keywords
GW0228,224,224,Exc ancilliaries; prepare surfaces,m²,Groundworks,Surface Preparation,Groundworks,0.11,F256,0.11,A256,Groundworks,surface_preparation
GW0229,225,225,Exc ancilliaries; prepare surfaces; sloping,m²,Groundworks,Surface Preparation,Groundworks,1.08,F257,1.08,A257,Groundworks,surface_preparation
GW0230,226,226,Exc ancilliaries; disposal in stockpiles on-site; not exceeding 1km,m³,Groundworks,Disposal,Disposal,4.97,F258,4.97,A258,Groundworks,disposal
GW0231,227,227,Exc ancilliaries; load & haul; not exceeding 1km,m³,Groundworks,General Groundworks,Groundworks,6.51,F259,6.51,A259,Groundworks,general_groundworks
GW0232,228,228,Exc ancilliaries; filling with SEM,m³,Groundworks,General Filling,Filling,3.15,F260,3.15,A260,Groundworks,filling|general_filling
GW0233,229,229,Exc ancilliaries; filling with 6F2,m³,Groundworks,General Filling,Filling,33.69,F261,33.69,A261,Groundworks,filling|general_filling
GW0234,230,230,Soil stabilisation; lime & cement mix to C0.4/0.5; 700mm thk,m²,Groundworks,General Groundworks,Groundworks,16.23,F262,16.23,A262,Groundworks,700mm|general_groundworks
GW0235,231,231,Site prep; remove tree; girth not exceeding 600,nr,Groundworks,General Groundworks,Groundworks,295.0,F265,295.0,A265,Groundworks,depth_600m|general_groundworks
GW0236,232,232,Site prep; remove tree; girth 600-1.5m,nr,Groundworks,General Groundworks,Groundworks,708.0,F266,708.0,A266,Groundworks,5m|general_groundworks
GW0237,233,233,Site prep; remove tree; girth 1.5-3.0m,nr,Groundworks,General Groundworks,Groundworks,885.0,F267,885.0,A267,Groundworks,0m|general_groundworks
GW0238,234,234,Site prep; remove tree; girth ex 3.0m,nr,Groundworks,General Groundworks,Groundworks,1180.0,F268,1180.0,A268,Groundworks,0m|general_groundworks
GW0239,235,235,Site prep; remove tree stump; fill void with SEM,nr,Groundworks,General Filling,Filling,524.02,F269,524.02,A269,Groundworks,general_filling
GW0240,236,236,Site clearance???,m²,Groundworks,General Groundworks,Groundworks,0.46,F270,0.46,A270,Groundworks,general_groundworks
GW0241,237,237,Site prep; clear vegetation,m²,Groundworks,General Groundworks,Groundworks,1.06,F271,1.06,A271,Groundworks,general_groundworks
GW0242,238,238,"Site prep; clear vegetation, bushes, small trees",m²,Groundworks,General Groundworks,Groundworks,2.49,F272,2.49,A272,Groundworks,general_groundworks
GW0243,239,239,Excavate topsoil for preservation,m³,Groundworks,General Excavation,Excavation,6.6,F273,6.6,A273,Groundworks,topsoil|general_excavation
GW0244,240,240,Excavate topsoil for preservation; 150mm depth,m²,Groundworks,General Excavation,Excavation,0.99,F274,0.99,A274,Groundworks,150mm|topsoil|general_excavation
GW0245,241,241,Excavate to remove piling mat,m³,Groundworks,General Excavation,Excavation,3.94,F275,3.94,A275,Groundworks,general_excavation
GW0246,242,242,Excavate to reduce levels; not exceeding 250mm,m³,Groundworks,General Excavation,Excavation,5.26,F276,5.26,A276,Groundworks,250mm|general_excavation
GW0247,243,243,Excavate to reduce levels; not exceeding 1m (large quants),m³,Groundworks,General Excavation,Excavation,1.29,F277,1.29,A277,Groundworks,1m|depth_1m|general_excavation
GW0248,244,244,Excavate to reduce levels; not exceeding 1m,m³,Groundworks,General Excavation,Excavation,4.73,F278,4.73,A278,Groundworks,1m|depth_1m|general_excavation
GW0249,245,245,Excavate to reduce levels; not exceeding 2m,m³,Groundworks,General Excavation,Excavation,4.73,F279,4.73,A279,Groundworks,2m|depth_2m|general_excavation
GW0250,246,246,Excavate to reduce levels; not exceeding 4m bulk,m³,Groundworks,General Excavation,Excavation,4.85,F280,4.85,A280,Groundworks,4m|depth_4m|general_excavation
GW0251,247,247,Excavate to reduce levels; not exceeding 4m,m³,Groundworks,General Excavation,Excavation,6.0,F281,6.0,A281,Groundworks,4m|depth_4m|general_excavation
GW0252,248,248,Excavate to reduce levels; not exceeding 6m,m³,Groundworks,General Excavation,Excavation,6.0,F282,6.0,A282,Groundworks,6m|depth_6m|general_excavation
GW0253,249,249,Excavate by hand,m³,Groundworks,General Excavation,Excavation,73.42,F283,73.42,A283,Groundworks,general_excavation
GW0254,250,250,EO for excavate by hand,m³,Groundworks,General Excavation,Excavation,68.69,F284,68.69,A284,Groundworks,general_excavation
GW0255,251,251,Excavate basement; not exceeding 2m dp,m³,Groundworks,Basement Excavation,Excavation,6.0,F285,6.0,A285,Groundworks,2m|depth_2m|basement|basement_excavation
GW0256,252,252,Excavate basement; not exceeding 4m dp,m³,Groundworks,Basement Excavation,Excavation,6.38,F286,6.38,A286,Groundworks,4m|depth_4m|basement|basement_excavation
GW0257,253,253,Excavate basement; not exceeding 4m deep (small/tight),m³,Groundworks,Basement Excavation,Excavation,6.8,F287,6.8,A287,Groundworks,4m|depth_4m|basement|basement_excavation
