id,code,original_code,description,unit,category,subcategory,work_type,rate,cellRate_reference,cellRate_rate,excelCellReference,sourceSheetName,keywords
SV0201,SV0201,,Fix only free issue UPVC Draw pit/valve pit/fire hydrant pit; 450x600mm; A15 C&F; depth to invert:-,nr,Services,Fire Protection,Services Works,,,,A604,Services,pvc|valve|fire_protection
SV0202,SV0202,,UPVC Draw pit/valve pit/fire hydrant pit; 600x750mm; A15 C&F; depth to invert:-,nr,Services,Fire Protection,Services Works,,,,A609,Services,pvc|valve|fire_protection
SV0203,SV0203,,UPVC Draw pit/valve pit/fire hydrant pit; 600x1000mm; A15 C&F; depth to invert:-,nr,Services,Fire Protection,Services Works,,,,A614,Services,pvc|valve|fire_protection
SV0204,SV0204,,"RC cable trench, PC concrete base and sides; D400 cover",m,Services,Cables and Wiring,Services Works,,,,A634,Services,cable|cables_and_wiring
SV0205,441,441,1000 wde x 500 dp,item,Services,General Services,Services Works,,,,A635,Services,general_services
SV0206,488,488,Excavate pits; ne 1m dp,item,Services,General Services,Services Works,,,,A691,Services,general_services
SV0207,489,489,Excavate pits; ne 2m dp,item,Services,General Services,Services Works,,,,A692,Services,general_services
SV0208,490,490,Excavate pits; ne 4m dp,item,Services,General Services,Services Works,,,,A693,Services,general_services
SV0209,491,491,Excavate pits; ne 6m dp,item,Services,General Services,Services Works,,,,A694,Services,general_services
SV0210,492,492,Excavate pits; ne 8m dp,item,Services,General Services,Services Works,,,,A695,Services,general_services
SV0211,493,493,EO exc for break out concrete,item,Services,General Services,Services Works,,,,A696,Services,general_services
SV0212,494,494,EO exc for break out tarmac; 150mm thk,item,Services,General Services,Services Works,,,,A697,Services,general_services
SV0213,495,495,Dispose of arisings off site,item,Services,General Services,Services Works,,,,A698,Services,general_services
SV0214,496,496,EWS; ne 1m dp,item,Services,General Services,Services Works,,,,A699,Services,general_services
SV0215,497,497,EWS; ne 2m dp,item,Services,General Services,Services Works,,,,A700,Services,general_services
SV0216,498,498,EWS; ne 4m dp,item,Services,General Services,Services Works,,,,A701,Services,general_services
SV0217,499,499,EWS; ne 6m dp,item,Services,General Services,Services Works,,,,A702,Services,general_services
SV0218,500,500,EWS; ne 8m dp,item,Services,General Services,Services Works,,,,A703,Services,general_services
SV0219,501,501,Working space; backfill with SEM,item,Services,General Services,Services Works,,,,A704,Services,general_services
SV0220,502,502,Working space; backfill with type 1,item,Services,General Services,Services Works,,,,A705,Services,general_services
SV0221,503,503,L&C bottom of excavation,m³,Services,General Services,Excavation,,,,A706,Services,general_services
SV0222,504,504,GEN1 blinding; 50mm thk,item,Services,General Services,Services Works,,,,A707,Services,general_services
SV0223,505,505,GEN1 blinding; 50mm thk,item,Services,General Services,Services Works,,,,A708,Services,general_services
SV0224,506,506,Pln concrete bed; 150-450mm thk,item,Services,General Services,Services Works,,,,A709,Services,general_services
SV0225,507,507,Watertight conc in in-situ base slab; C40 Pudlo,item,Services,Plumbing Works,Services Works,,,,A710,Services,plumbing_works
SV0226,508,508,Formwork; edge of bed; ne 250mm; curved,item,Services,General Services,Services Works,,,,A711,Services,general_services
SV0227,509,509,Formwork; edge of bed; 250-500mm,item,Services,General Services,Services Works,,,,A712,Services,general_services
