id,code,original_code,description,unit,category,subcategory,work_type,rate,cellRate_reference,cellRate_rate,excelCellReference,sourceSheetName,keywords
DR_0032_Drainage,DR0032,35,Excavate trenches for pipes ne 200mm dia; backfill with SEM; dispose of surplus on site; depth to invert:; depth to invert: 1.75 - 2 m,m,Drainage,Pipework,Drainage Works,39.47,Drainage!O57,39.47,Drainage!A57,Drainage,200mm|excavate|trench|pipe|backfill|sem|dispose|invert
DR_0033_Drainage,DR0033,36,Excavate trenches for pipes ne 200mm dia; backfill with SEM; dispose of surplus on site; depth to invert:; depth to invert: 2 - 2.25 m,m,Drainage,Pipework,Drainage Works,55.43,Drainage!O58,55.43,Drainage!A58,Drainage,200mm|excavate|trench|pipe|backfill|sem|dispose|invert
DR_0034_Drainage,DR0034,37,Excavate trenches for pipes ne 200mm dia; backfill with SEM; dispose of surplus on site; depth to invert:; depth to invert: 2.25 - 2.5 m,m,Drainage,Pipework,Drainage Works,64.05,Drainage!O59,64.05,Drainage!A59,Drainage,200mm|excavate|trench|pipe|backfill|sem|dispose|invert
DR_0035_Drainage,DR0035,38,Excavate trenches for pipes ne 200mm dia; backfill with SEM; dispose of surplus on site; depth to invert:; depth to invert: 2.5 - 2.75 m,m,Drainage,Pipework,Drainage Works,79.71,Drainage!O60,79.71,Drainage!A60,Drainage,200mm|excavate|trench|pipe|backfill|sem|dispose|invert
DR_0036_Drainage,DR0036,39,Excavate trenches for pipes ne 200mm dia; backfill with SEM; dispose of surplus on site; depth to invert:; depth to invert: 2.75 - 3 m,m,Drainage,Pipework,Drainage Works,93.35,Drainage!O61,93.35,Drainage!A61,Drainage,200mm|excavate|trench|pipe|backfill|sem|dispose|invert
DR_0037_Drainage,DR0037,40,Excavate trenches for pipes ne 200mm dia; backfill with SEM; dispose of surplus on site; depth to invert:; depth to invert: 3 - 3.25 m,m,Drainage,Pipework,Drainage Works,101.16,Drainage!O62,101.16,Drainage!A62,Drainage,200mm|excavate|trench|pipe|backfill|sem|dispose|invert
DR_0038_Drainage,DR0038,41,Excavate trenches for 225mm dia pipes; backfill with SEM; dispose of surplus off site; depth to invert:; depth to invert: not exceeding 0.5 m,m,Drainage,Pipework,Drainage Works,16.3,Drainage!O64,16.3,Drainage!A64,Drainage,225mm|excavate|trench|pipe|backfill|sem|dispose|invert
DR_0039_Drainage,DR0039,42,Excavate trenches for 225mm dia pipes; backfill with SEM; dispose of surplus off site; depth to invert:; depth to invert: 0.5 - 0.75 m,m,Drainage,Pipework,Drainage Works,19.67,Drainage!O65,19.67,Drainage!A65,Drainage,225mm|excavate|trench|pipe|backfill|sem|dispose|invert
DR_0040_Drainage,DR0040,43,Excavate trenches for 225mm dia pipes; backfill with SEM; dispose of surplus off site; depth to invert:; depth to invert: 0.75 - 1 m,m,Drainage,Pipework,Drainage Works,23.9,Drainage!O66,23.9,Drainage!A66,Drainage,225mm|excavate|trench|pipe|backfill|sem|dispose|invert
DR_0041_Drainage,DR0041,44,Excavate trenches for 225mm dia pipes; backfill with SEM; dispose of surplus off site; depth to invert:; depth to invert: 1 - 1.25 m,m,Drainage,Pipework,Drainage Works,35.21,Drainage!O67,35.21,Drainage!A67,Drainage,225mm|excavate|trench|pipe|backfill|sem|dispose|invert
DR_0042_Drainage,DR0042,45,Excavate trenches for 225mm dia pipes; backfill with SEM; dispose of surplus off site; depth to invert:; depth to invert: 1.25 - 1.5 m,m,Drainage,Pipework,Drainage Works,40.08,Drainage!O68,40.08,Drainage!A68,Drainage,225mm|excavate|trench|pipe|backfill|sem|dispose|invert
DR_0043_Drainage,DR0043,46,Excavate trenches for 225mm dia pipes; backfill with SEM; dispose of surplus off site; depth to invert:; depth to invert: 1.5 - 1.75 m,m,Drainage,Pipework,Drainage Works,55.17,Drainage!O69,55.17,Drainage!A69,Drainage,225mm|excavate|trench|pipe|backfill|sem|dispose|invert
